StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,D_armHole,E_pinElevation,A_coded,B_coded,C_coded,D_coded,E_coded,Shot,Distance_m
1,130,95,2,2,1.5,-1,-1,-1,-1,-1,1,2.577
2,190,95,2,2,1.5,1,-1,-1,-1,-1,1,5.660
3,130,110,2,2,1.5,-1,1,-1,-1,-1,1,2.502
4,190,110,2,2,1.5,1,1,-1,-1,-1,1,9.357
5,130,95,4,2,1.5,-1,-1,1,-1,-1,1,3.319
6,190,95,4,2,1.5,1,-1,1,-1,-1,1,7.699
7,130,110,4,2,1.5,-1,1,1,-1,-1,1,3.372
8,190,110,4,2,1.5,1,1,1,-1,-1,1,12.889
9,130,95,2,4,1.5,-1,-1,-1,1,-1,1,3.684
10,190,95,2,4,1.5,1,-1,-1,1,-1,1,8.113
11,130,110,2,4,1.5,-1,1,-1,1,-1,1,3.428
12,190,110,2,4,1.5,1,1,-1,1,-1,1,13.230
13,130,95,4,4,1.5,-1,-1,1,1,-1,1,4.593
14,190,95,4,4,1.5,1,-1,1,1,-1,1,10.430
15,130,110,4,4,1.5,-1,1,1,1,-1,1,4.929
16,190,110,4,4,1.5,1,1,1,1,-1,1,18.164
17,130,95,2,2,3,-1,-1,-1,-1,1,1,2.598
18,190,95,2,2,3,1,-1,-1,-1,1,1,6.136
19,130,110,2,2,3,-1,1,-1,-1,1,1,2.578
20,190,110,2,2,3,1,1,-1,-1,1,1,10.019
21,130,95,4,2,3,-1,-1,1,-1,1,1,3.666
22,190,95,4,2,3,1,-1,1,-1,1,1,8.669
23,130,110,4,2,3,-1,1,1,-1,1,1,3.387
24,190,110,4,2,3,1,1,1,-1,1,1,13.801
25,130,95,2,4,3,-1,-1,-1,1,1,1,3.727
26,190,95,2,4,3,1,-1,-1,1,1,1,9.152
27,130,110,2,4,3,-1,1,-1,1,1,1,3.437
28,190,110,2,4,3,1,1,-1,1,1,1,13.521
29,130,95,4,4,3,-1,-1,1,1,1,1,4.878
30,190,95,4,4,3,1,-1,1,1,1,1,11.950
31,130,110,4,4,3,-1,1,1,1,1,1,4.886
32,190,110,4,4,3,1,1,1,1,1,1,19.264
