StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,D_armHole,E_pinElevation,A_coded,B_coded,C_coded,D_coded,E_coded,Shot,Distance_m
1,130,95,2,2,3,-1,-1,-1,-1,1,1,2.750
2,190,95,2,2,1.5,1,-1,-1,-1,-1,1,5.802
3,130,110,2,2,1.5,-1,1,-1,-1,-1,1,2.671
4,190,110,2,2,3,1,1,-1,-1,1,1,9.831
5,130,95,4,2,1.5,-1,-1,1,-1,-1,1,3.531
6,190,95,4,2,3,1,-1,1,-1,1,1,8.893
7,130,110,4,2,3,-1,1,1,-1,1,1,3.270
8,190,110,4,2,1.5,1,1,1,-1,-1,1,13.372
9,130,95,2,4,1.5,-1,-1,-1,1,-1,1,3.735
10,190,95,2,4,3,1,-1,-1,1,1,1,9.012
11,130,110,2,4,3,-1,1,-1,1,1,1,3.450
12,190,110,2,4,1.5,1,1,-1,1,-1,1,13.075
13,130,95,4,4,3,-1,-1,1,1,1,1,4.883
14,190,95,4,4,1.5,1,-1,1,1,-1,1,9.769
15,130,110,4,4,1.5,-1,1,1,1,-1,1,5.021
16,190,110,4,4,3,1,1,1,1,1,1,19.865
17,160,102.5,3,3,2.25,0,0,0,0,0,1,8.481
18,160,102.5,3,3,2.25,0,0,0,0,0,1,8.052
19,160,102.5,3,3,2.25,0,0,0,0,0,1,8.355
20,160,102.5,3,3,2.25,0,0,0,0,0,1,8.240
