StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,A_coded,B_coded,C_coded,Shot,Distance_m
1,150,95,3,-1,-1,0,1,5.279
2,150,112,3,-1,1,0,1,7.582
3,190,95,3,1,-1,0,1,8.437
4,190,112,3,1,1,0,1,14.744
5,150,103.5,1.5,-1,0,-1,1,5.379
6,150,103.5,4.5,-1,0,1,1,8.596
7,190,103.5,1.5,1,0,-1,1,9.066
8,190,103.5,4.5,1,0,1,1,14.295
9,170,95,1.5,0,-1,-1,1,5.506
10,170,95,4.5,0,-1,1,1,8.315
11,170,112,1.5,0,1,-1,1,8.589
12,170,112,4.5,0,1,1,1,13.946
13,170,103.5,3,0,0,0,1,9.101
14,170,103.5,3,0,0,0,1,9.640
15,170,103.5,3,0,0,0,1,9.491
