StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,D_armHole,E_pinElevation,A_coded,B_coded,C_coded,D_coded,E_coded,Shot,Distance_m
1,130,95,2,2,1.5,-1,-1,-1,-1,-1,1,2.577
1,130,95,2,2,1.5,-1,-1,-1,-1,-1,2,2.706
1,130,95,2,2,1.5,-1,-1,-1,-1,-1,3,2.669
2,190,95,2,2,1.5,1,-1,-1,-1,-1,1,5.707
2,190,95,2,2,1.5,1,-1,-1,-1,-1,2,5.599
2,190,95,2,2,1.5,1,-1,-1,-1,-1,3,5.967
3,130,110,2,2,1.5,-1,1,-1,-1,-1,1,2.486
3,130,110,2,2,1.5,-1,1,-1,-1,-1,2,2.379
3,130,110,2,2,1.5,-1,1,-1,-1,-1,3,2.473
4,190,110,2,2,1.5,1,1,-1,-1,-1,1,9.789
4,190,110,2,2,1.5,1,1,-1,-1,-1,2,9.470
4,190,110,2,2,1.5,1,1,-1,-1,-1,3,9.535
5,130,95,4,2,1.5,-1,-1,1,-1,-1,1,3.389
5,130,95,4,2,1.5,-1,-1,1,-1,-1,2,3.451
5,130,95,4,2,1.5,-1,-1,1,-1,-1,3,3.387
6,190,95,4,2,1.5,1,-1,1,-1,-1,1,7.398
6,190,95,4,2,1.5,1,-1,1,-1,-1,2,6.816
6,190,95,4,2,1.5,1,-1,1,-1,-1,3,6.957
7,130,110,4,2,1.5,-1,1,1,-1,-1,1,3.720
7,130,110,4,2,1.5,-1,1,1,-1,-1,2,3.509
7,130,110,4,2,1.5,-1,1,1,-1,-1,3,3.591
8,190,110,4,2,1.5,1,1,1,-1,-1,1,13.443
8,190,110,4,2,1.5,1,1,1,-1,-1,2,13.087
8,190,110,4,2,1.5,1,1,1,-1,-1,3,13.259
9,130,95,2,4,1.5,-1,-1,-1,1,-1,1,3.595
9,130,95,2,4,1.5,-1,-1,-1,1,-1,2,3.742
9,130,95,2,4,1.5,-1,-1,-1,1,-1,3,3.786
10,190,95,2,4,1.5,1,-1,-1,1,-1,1,7.826
10,190,95,2,4,1.5,1,-1,-1,1,-1,2,8.026
10,190,95,2,4,1.5,1,-1,-1,1,-1,3,8.178
11,130,110,2,4,1.5,-1,1,-1,1,-1,1,3.781
11,130,110,2,4,1.5,-1,1,-1,1,-1,2,3.600
11,130,110,2,4,1.5,-1,1,-1,1,-1,3,3.613
12,190,110,2,4,1.5,1,1,-1,1,-1,1,12.966
12,190,110,2,4,1.5,1,1,-1,1,-1,2,13.076
12,190,110,2,4,1.5,1,1,-1,1,-1,3,13.890
13,130,95,4,4,1.5,-1,-1,1,1,-1,1,4.547
13,130,95,4,4,1.5,-1,-1,1,1,-1,2,4.767
13,130,95,4,4,1.5,-1,-1,1,1,-1,3,4.592
14,190,95,4,4,1.5,1,-1,1,1,-1,1,10.395
14,190,95,4,4,1.5,1,-1,1,1,-1,2,9.917
14,190,95,4,4,1.5,1,-1,1,1,-1,3,10.448
15,130,110,4,4,1.5,-1,1,1,1,-1,1,4.956
15,130,110,4,4,1.5,-1,1,1,1,-1,2,4.808
15,130,110,4,4,1.5,-1,1,1,1,-1,3,4.917
16,190,110,4,4,1.5,1,1,1,1,-1,1,17.840
16,190,110,4,4,1.5,1,1,1,1,-1,2,18.496
16,190,110,4,4,1.5,1,1,1,1,-1,3,18.488
17,130,95,2,2,3,-1,-1,-1,-1,1,1,2.832
17,130,95,2,2,3,-1,-1,-1,-1,1,2,2.746
17,130,95,2,2,3,-1,-1,-1,-1,1,3,2.798
18,190,95,2,2,3,1,-1,-1,-1,1,1,6.505
18,190,95,2,2,3,1,-1,-1,-1,1,2,6.682
18,190,95,2,2,3,1,-1,-1,-1,1,3,6.190
19,130,110,2,2,3,-1,1,-1,-1,1,1,2.238
19,130,110,2,2,3,-1,1,-1,-1,1,2,2.452
19,130,110,2,2,3,-1,1,-1,-1,1,3,2.467
20,190,110,2,2,3,1,1,-1,-1,1,1,9.900
20,190,110,2,2,3,1,1,-1,-1,1,2,9.947
20,190,110,2,2,3,1,1,-1,-1,1,3,10.165
21,130,95,4,2,3,-1,-1,1,-1,1,1,3.557
21,130,95,4,2,3,-1,-1,1,-1,1,2,3.557
21,130,95,4,2,3,-1,-1,1,-1,1,3,3.407
22,190,95,4,2,3,1,-1,1,-1,1,1,8.409
22,190,95,4,2,3,1,-1,1,-1,1,2,8.644
22,190,95,4,2,3,1,-1,1,-1,1,3,8.348
23,130,110,4,2,3,-1,1,1,-1,1,1,3.313
23,130,110,4,2,3,-1,1,1,-1,1,2,3.686
23,130,110,4,2,3,-1,1,1,-1,1,3,3.338
24,190,110,4,2,3,1,1,1,-1,1,1,13.698
24,190,110,4,2,3,1,1,1,-1,1,2,13.449
24,190,110,4,2,3,1,1,1,-1,1,3,13.390
25,130,95,2,4,3,-1,-1,-1,1,1,1,3.912
25,130,95,2,4,3,-1,-1,-1,1,1,2,3.850
25,130,95,2,4,3,-1,-1,-1,1,1,3,3.807
26,190,95,2,4,3,1,-1,-1,1,1,1,8.516
26,190,95,2,4,3,1,-1,-1,1,1,2,8.813
26,190,95,2,4,3,1,-1,-1,1,1,3,8.697
27,130,110,2,4,3,-1,1,-1,1,1,1,3.428
