StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,D_armHole,E_pinElevation,A_coded,B_coded,C_coded,D_coded,E_coded,Shot,Distance_m
1,130,95,2,4,3,-1,-1,-1,1,1,1,3.895
1,130,95,2,4,3,-1,-1,-1,1,1,2,3.669
1,130,95,2,4,3,-1,-1,-1,1,1,3,3.905
2,190,95,2,2,1.5,1,-1,-1,-1,-1,1,5.723
2,190,95,2,2,1.5,1,-1,-1,-1,-1,2,5.675
2,190,95,2,2,1.5,1,-1,-1,-1,-1,3,5.793
3,130,110,2,2,3,-1,1,-1,-1,1,1,2.337
3,130,110,2,2,3,-1,1,-1,-1,1,2,2.626
3,130,110,2,2,3,-1,1,-1,-1,1,3,2.580
4,190,110,2,4,1.5,1,1,-1,1,-1,1,13.143
4,190,110,2,4,1.5,1,1,-1,1,-1,2,13.545
4,190,110,2,4,1.5,1,1,-1,1,-1,3,13.263
5,130,95,4,4,1.5,-1,-1,1,1,-1,1,4.377
5,130,95,4,4,1.5,-1,-1,1,1,-1,2,4.624
5,130,95,4,4,1.5,-1,-1,1,1,-1,3,4.465
6,190,95,4,2,3,1,-1,1,-1,1,1,8.390
6,190,95,4,2,3,1,-1,1,-1,1,2,8.381
6,190,95,4,2,3,1,-1,1,-1,1,3,8.233
7,130,110,4,2,1.5,-1,1,1,-1,-1,1,3.321
7,130,110,4,2,1.5,-1,1,1,-1,-1,2,3.510
7,130,110,4,2,1.5,-1,1,1,-1,-1,3,3.482
8,190,110,4,4,3,1,1,1,1,1,1,19.666
8,190,110,4,4,3,1,1,1,1,1,2,19.088
8,190,110,4,4,3,1,1,1,1,1,3,18.658
