StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,D_armHole,E_pinElevation,A_coded,B_coded,C_coded,D_coded,E_coded,Shot,Distance_m
1,130,95,2,2,3,-1,-1,-1,-1,1,1,2.750
1,130,95,2,2,3,-1,-1,-1,-1,1,2,2.813
1,130,95,2,2,3,-1,-1,-1,-1,1,3,2.830
2,190,95,2,2,1.5,1,-1,-1,-1,-1,1,5.691
2,190,95,2,2,1.5,1,-1,-1,-1,-1,2,6.005
2,190,95,2,2,1.5,1,-1,-1,-1,-1,3,6.098
3,130,110,2,2,1.5,-1,1,-1,-1,-1,1,2.555
3,130,110,2,2,1.5,-1,1,-1,-1,-1,2,2.713
3,130,110,2,2,1.5,-1,1,-1,-1,-1,3,2.675
4,190,110,2,2,3,1,1,-1,-1,1,1,10.275
4,190,110,2,2,3,1,1,-1,-1,1,2,9.927
4,190,110,2,2,3,1,1,-1,-1,1,3,9.809
5,130,95,4,2,1.5,-1,-1,1,-1,-1,1,3.455
5,130,95,4,2,1.5,-1,-1,1,-1,-1,2,3.354
5,130,95,4,2,1.5,-1,-1,1,-1,-1,3,3.539
6,190,95,4,2,3,1,-1,1,-1,1,1,8.733
6,190,95,4,2,3,1,-1,1,-1,1,2,9.074
6,190,95,4,2,3,1,-1,1,-1,1,3,8.586
7,130,110,4,2,3,-1,1,1,-1,1,1,3.522
7,130,110,4,2,3,-1,1,1,-1,1,2,3.385
7,130,110,4,2,3,-1,1,1,-1,1,3,3.150
8,190,110,4,2,1.5,1,1,1,-1,-1,1,13.670
8,190,110,4,2,1.5,1,1,1,-1,-1,2,12.985
8,190,110,4,2,1.5,1,1,1,-1,-1,3,13.408
9,130,95,2,4,1.5,-1,-1,-1,1,-1,1,3.670
9,130,95,2,4,1.5,-1,-1,-1,1,-1,2,3.673
9,130,95,2,4,1.5,-1,-1,-1,1,-1,3,3.697
10,190,95,2,4,3,1,-1,-1,1,1,1,8.665
10,190,95,2,4,3,1,-1,-1,1,1,2,8.695
10,190,95,2,4,3,1,-1,-1,1,1,3,8.892
11,130,110,2,4,3,-1,1,-1,1,1,1,3.410
11,130,110,2,4,3,-1,1,-1,1,1,2,3.591
11,130,110,2,4,3,-1,1,-1,1,1,3,3.390
12,190,110,2,4,1.5,1,1,-1,1,-1,1,13.317
12,190,110,2,4,1.5,1,1,-1,1,-1,2,13.621
12,190,110,2,4,1.5,1,1,-1,1,-1,3,13.288
13,130,95,4,4,3,-1,-1,1,1,1,1,5.024
13,130,95,4,4,3,-1,-1,1,1,1,2,4.811
13,130,95,4,4,3,-1,-1,1,1,1,3,4.865
14,190,95,4,4,1.5,1,-1,1,1,-1,1,10.111
14,190,95,4,4,1.5,1,-1,1,1,-1,2,9.982
14,190,95,4,4,1.5,1,-1,1,1,-1,3,10.892
15,130,110,4,4,1.5,-1,1,1,1,-1,1,4.945
15,130,110,4,4,1.5,-1,1,1,1,-1,2,5.084
15,130,110,4,4,1.5,-1,1,1,1,-1,3,4.988
16,190,110,4,4,3,1,1,1,1,1,1,19.451
16,190,110,4,4,3,1,1,1,1,1,2,19.134
16,190,110,4,4,3,1,1,1,1,1,3,19.162
17,160,102.5,3,3,2.25,0,0,0,0,0,1,7.998
17,160,102.5,3,3,2.25,0,0,0,0,0,2,7.926
17,160,102.5,3,3,2.25,0,0,0,0,0,3,8.278
18,160,102.5,3,3,2.25,0,0,0,0,0,1,8.065
18,160,102.5,3,3,2.25,0,0,0,0,0,2,8.135
18,160,102.5,3,3,2.25,0,0,0,0,0,3,8.181
19,160,102.5,3,3,2.25,0,0,0,0,0,1,8.003
19,160,102.5,3,3,2.25,0,0,0,0,0,2,8.260
19,160,102.5,3,3,2.25,0,0,0,0,0,3,8.543
20,160,102.5,3,3,2.25,0,0,0,0,0,1,7.930
20,160,102.5,3,3,2.25,0,0,0,0,0,2,8.321
20,160,102.5,3,3,2.25,0,0,0,0,0,3,8.382
