StdOrder,A_pullBackAngle,B_stopAngle,C_bungeePosition,A_coded,B_coded,C_coded,Shot,Distance_m
1,150,95,3,-1,-1,0,1,5.279
1,150,95,3,-1,-1,0,2,5.696
1,150,95,3,-1,-1,0,3,5.563
1,150,95,3,-1,-1,0,4,5.603
1,150,95,3,-1,-1,0,5,5.559
1,150,95,3,-1,-1,0,6,5.649
1,150,95,3,-1,-1,0,7,5.420
1,150,95,3,-1,-1,0,8,5.378
1,150,95,3,-1,-1,0,9,5.307
1,150,95,3,-1,-1,0,10,5.495
1,150,95,3,-1,-1,0,11,5.568
1,150,95,3,-1,-1,0,12,5.507
1,150,95,3,-1,-1,0,13,5.158
1,150,95,3,-1,-1,0,14,5.522
1,150,95,3,-1,-1,0,15,5.436
2,150,112,3,-1,1,0,1,7.539
2,150,112,3,-1,1,0,2,7.568
2,150,112,3,-1,1,0,3,7.617
2,150,112,3,-1,1,0,4,7.710
2,150,112,3,-1,1,0,5,7.368
2,150,112,3,-1,1,0,6,7.281
2,150,112,3,-1,1,0,7,7.530
2,150,112,3,-1,1,0,8,7.184
2,150,112,3,-1,1,0,9,7.767
2,150,112,3,-1,1,0,10,7.274
2,150,112,3,-1,1,0,11,7.693
2,150,112,3,-1,1,0,12,7.022
2,150,112,3,-1,1,0,13,7.467
2,150,112,3,-1,1,0,14,7.230
2,150,112,3,-1,1,0,15,7.370
3,190,95,3,1,-1,0,1,7.949
3,190,95,3,1,-1,0,2,8.218
3,190,95,3,1,-1,0,3,8.204
3,190,95,3,1,-1,0,4,8.141
3,190,95,3,1,-1,0,5,8.321
3,190,95,3,1,-1,0,6,8.557
3,190,95,3,1,-1,0,7,8.337
3,190,95,3,1,-1,0,8,8.526
3,190,95,3,1,-1,0,9,7.947
3,190,95,3,1,-1,0,10,8.136
3,190,95,3,1,-1,0,11,8.190
3,190,95,3,1,-1,0,12,8.168
3,190,95,3,1,-1,0,13,8.427
3,190,95,3,1,-1,0,14,8.628
3,190,95,3,1,-1,0,15,7.811
4,190,112,3,1,1,0,1,14.412
4,190,112,3,1,1,0,2,14.606
4,190,112,3,1,1,0,3,14.463
4,190,112,3,1,1,0,4,14.301
4,190,112,3,1,1,0,5,14.234
4,190,112,3,1,1,0,6,14.325
4,190,112,3,1,1,0,7,14.964
4,190,112,3,1,1,0,8,13.779
4,190,112,3,1,1,0,9,14.375
4,190,112,3,1,1,0,10,14.283
4,190,112,3,1,1,0,11,13.912
4,190,112,3,1,1,0,12,14.692
4,190,112,3,1,1,0,13,14.999
4,190,112,3,1,1,0,14,14.573
4,190,112,3,1,1,0,15,14.096
5,150,103.5,1.5,-1,0,-1,1,5.214
5,150,103.5,1.5,-1,0,-1,2,5.320
5,150,103.5,1.5,-1,0,-1,3,5.273
5,150,103.5,1.5,-1,0,-1,4,5.242
5,150,103.5,1.5,-1,0,-1,5,5.447
5,150,103.5,1.5,-1,0,-1,6,5.362
5,150,103.5,1.5,-1,0,-1,7,5.248
5,150,103.5,1.5,-1,0,-1,8,5.403
5,150,103.5,1.5,-1,0,-1,9,5.386
5,150,103.5,1.5,-1,0,-1,10,5.182
5,150,103.5,1.5,-1,0,-1,11,5.216
5,150,103.5,1.5,-1,0,-1,12,5.497
5,150,103.5,1.5,-1,0,-1,13,5.248
5,150,103.5,1.5,-1,0,-1,14,5.326
5,150,103.5,1.5,-1,0,-1,15,5.247
6,150,103.5,4.5,-1,0,1,1,8.553
6,150,103.5,4.5,-1,0,1,2,8.305
6,150,103.5,4.5,-1,0,1,3,8.294
6,150,103.5,4.5,-1,0,1,4,8.410
6,150,103.5,4.5,-1,0,1,5,8.609
6,150,103.5,4.5,-1,0,1,6,8.270
6,150,103.5,4.5,-1,0,1,7,8.629
6,150,103.5,4.5,-1,0,1,8,8.571
6,150,103.5,4.5,-1,0,1,9,8.373
6,150,103.5,4.5,-1,0,1,10,8.162
6,150,103.5,4.5,-1,0,1,11,8.323
6,150,103.5,4.5,-1,0,1,12,8.436
6,150,103.5,4.5,-1,0,1,13,8.261
6,150,103.5,4.5,-1,0,1,14,8.433
6,150,103.5,4.5,-1,0,1,15,8.234
7,190,103.5,1.5,1,0,-1,1,9.129
7,190,103.5,1.5,1,0,-1,2,9.013
7,190,103.5,1.5,1,0,-1,3,9.132
7,190,103.5,1.5,1,0,-1,4,9.066
7,190,103.5,1.5,1,0,-1,5,8.996
7,190,103.5,1.5,1,0,-1,6,9.060
7,190,103.5,1.5,1,0,-1,7,9.386
7,190,103.5,1.5,1,0,-1,8,9.093
7,190,103.5,1.5,1,0,-1,9,9.225
7,190,103.5,1.5,1,0,-1,10,9.115
7,190,103.5,1.5,1,0,-1,11,9.046
7,190,103.5,1.5,1,0,-1,12,9.324
7,190,103.5,1.5,1,0,-1,13,8.923
7,190,103.5,1.5,1,0,-1,14,9.086
7,190,103.5,1.5,1,0,-1,15,9.010
8,190,103.5,4.5,1,0,1,1,14.522
8,190,103.5,4.5,1,0,1,2,15.136
8,190,103.5,4.5,1,0,1,3,14.186
8,190,103.5,4.5,1,0,1,4,14.093
8,190,103.5,4.5,1,0,1,5,14.837
8,190,103.5,4.5,1,0,1,6,14.792
8,190,103.5,4.5,1,0,1,7,14.425
